62.96824596572466,80.0,28.635642126552707	right
51.78802950489621,81.0,34.713109915419565	right
39.6232255123179,82.0,39.81205847478876	right
34.52535300326414,83.0,45.89117562233506	right
22.360679774997898,84.0,51.97114584074513	right
28.635642126552707,89.0,39.6232255123179	down
34.713109915419565,89.0,34.52535300326414	down
39.81205847478876,89.0,34.52535300326414	down
45.89117562233506,58.0,28.442925306655784	down
9.219544457292887,9.055385138137417,9.055385138137417	left
9.219544457292887,9.055385138137417,9.055385138137417	left
9.219544457292887,9.055385138137417,9.055385138137417	left
9.219544457292887,9.055385138137417,9.055385138137417	left
51.97114584074513,56.0,28.442925306655784	down
57.0701322935211,50.0,26.30589287593181	down
63.150613615387776,44.0,22.360679774997898	down
69.2314957226839,38.0,20.223748416156685	down
74.33034373659252,32.0,17.26267650163207	down
80.4114419718985,26.0,14.142135623730951	down
94.0,45.5411901469428,28.792360097775937,23.323807579381203,19.209372712298546,16.401219466856727,17.4928556845359,25.632011235952593,74.14849964766651,80.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0990195135927845,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,8.602325267042627,11.180339887498949,22.561028345356956,94.00531899844816	up
94.0,45.70557952810576,31.953090617340916,24.186773244895647,19.849433241279208,17.804493814764857,17.4928556845359,25.632011235952593,74.14849964766651,81.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,5.656854249492381,5.0,4.47213595499958,4.47213595499958,4.123105625617661,4.123105625617661,4.0,4.123105625617661,4.123105625617661,4.47213595499958,5.0,6.4031242374328485,8.94427190999916,17.46424919657298,94.00531899844816	up
94.0,45.5411901469428,28.792360097775937,23.323807579381203,19.209372712298546,16.401219466856727,17.4928556845359,25.632011235952593,74.14849964766651,80.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0990195135927845,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,8.602325267042627,11.180339887498949,22.561028345356956,94.00531899844816	up
94.0,45.70557952810576,31.953090617340916,24.186773244895647,19.849433241279208,17.804493814764857,17.4928556845359,25.632011235952593,74.14849964766651,81.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,5.656854249492381,5.0,4.47213595499958,4.47213595499958,4.123105625617661,4.123105625617661,4.0,4.123105625617661,4.123105625617661,4.47213595499958,5.0,6.4031242374328485,8.94427190999916,17.46424919657298,94.00531899844816	up
5.0990195135927845,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,8.602325267042627,11.180339887498949,22.561028345356956,94.0,45.5411901469428,28.792360097775937,23.323807579381203,19.209372712298546,16.401219466856727,17.4928556845359,25.632011235952593,74.14849964766651,80.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0	down
5.0990195135927845,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,7.0710678118654755,6.708203932499369,6.324555320336759,6.082762530298219,6.0,6.0,6.082762530298219,6.324555320336759,7.211102550927978,7.810249675906654,10.0,14.317821063276353,28.635642126552707,94.0,39.6232255123179,28.460498941515414,21.95449840010015,18.439088914585774,15.620499351813308,17.4928556845359,25.632011235952593,74.14849964766651,79.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0	down
5.0990195135927845,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,7.0710678118654755,8.06225774829855,7.615773105863909,7.280109889280518,7.0,7.0710678118654755,7.280109889280518,7.615773105863909,8.602325267042627,9.899494936611665,12.206555615733702,17.46424919657298,34.713109915419565,94.0,39.45883931389772,25.632011235952593,19.72308292331602,17.029386365926403,14.212670403551895,17.4928556845359,25.632011235952593,74.14849964766651,78.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0	down
5.0990195135927845,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,7.0710678118654755,9.433981132056603,8.54400374531753,8.246211251235321,8.0,8.06225774829855,8.246211251235321,8.94427190999916,9.433981132056603,11.313708498984761,14.422205101855956,20.615528128088304,39.81205847478876,94.0,34.52535300326414,22.47220505424423,17.4928556845359,14.866068747318506,13.45362404707371,17.4928556845359,25.632011235952593,92.39588735436226,77.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0	down
5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485,7.0710678118654755,9.433981132056603,9.486832980505138,9.219544457292887,9.0,9.055385138137417,9.219544457292887,9.848857801796104,10.816653826391969,12.727922061357855,15.811388300841896,22.847319317591726,45.89117562233506,63.0,33.37663853655727,22.135943621178654,17.0,13.45362404707371,13.45362404707371,17.4928556845359,28.792360097775937,91.2414379544733,76.0,22.561028345356956,11.180339887498949,8.602325267042627,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0	down
9.0,9.055385138137417,9.219544457292887,9.848857801796104,10.816653826391969,12.727922061357855,15.811388300841896,22.847319317591726,45.89117562233506,62.0,32.38826948140329,21.18962010041709,16.1245154965971,13.45362404707371,12.041594578792296,15.264337522473747,22.47220505424423,69.05070600652827,76.0,28.635642126552707,14.317821063276353,10.0,7.810249675906654,7.211102550927978,6.324555320336759,6.082762530298219,6.0,6.0,6.082762530298219,6.324555320336759,6.708203932499369,7.810249675906654,8.48528137423857,10.295630140987,9.486832980505138,9.219544457292887,9.055385138137417	right
9.0,9.055385138137417,9.219544457292887,9.848857801796104,10.816653826391969,12.727922061357855,15.811388300841896,22.847319317591726,45.89117562233506,61.0,31.400636936215164,20.248456731316587,15.264337522473747,13.45362404707371,11.40175425099138,13.892443989449804,20.248456731316587,56.88585061331157,77.0,34.713109915419565,17.46424919657298,12.206555615733702,9.899494936611665,8.602325267042627,7.615773105863909,7.280109889280518,7.0710678118654755,7.0,7.280109889280518,7.615773105863909,8.06225774829855,9.219544457292887,10.63014581273465,10.295630140987,9.486832980505138,9.219544457292887,9.055385138137417	right
9.0,9.055385138137417,9.219544457292887,9.848857801796104,10.816653826391969,12.727922061357855,15.811388300841896,22.847319317591726,45.89117562233506,60.0,30.4138126514911,20.248456731316587,15.264337522473747,13.45362404707371,11.40175425099138,11.661903789690601,17.08800749063506,45.70557952810576,78.0,39.81205847478876,20.615528128088304,14.422205101855956,11.313708498984761,9.433981132056603,8.94427190999916,8.246211251235321,8.06225774829855,8.0,8.246211251235321,8.54400374531753,9.433981132056603,10.0,11.40175425099138,10.295630140987,9.486832980505138,9.219544457292887,9.055385138137417	right
8.0,8.246211251235321,8.54400374531753,9.433981132056603,10.0,12.041594578792296,11.661903789690601,10.770329614269007,10.198039027185569,10.0,10.04987562112089,10.44030650891055,11.180339887498949,12.206555615733702,14.142135623730951,18.027756377319946,26.0,51.97114584074513,54.0,28.442925306655784,18.973665961010276,13.892443989449804,12.041594578792296,10.0,11.661903789690601,17.08800749063506,45.70557952810576,77.0,39.81205847478876,20.615528128088304,14.422205101855956,11.313708498984761,9.433981132056603,8.94427190999916,8.246211251235321,8.06225774829855,8.0	down
